All,Alla
"Enable Archiving","Aktivera arkivering"
"Archive Orders Purchased","Arkiv för order"
"Order Statuses to be Archived","Order status ska arkiveras"
"Mass Add","Lägg till i bulk"
"Sales Archive",Säljarkiv
"The ""%1"" product is not part of the current creditmemo.","""%1"" produkten är inte en del av din nuvarande kreditnota."
"The return to stock argument contains product item that is not part of the original order.","Återlämna till lager argumentet innehåller produkt-objekt som inte är en del av den ursprungliga ordern."
"Are you sure you want to delete this?","Är du säker du vill ta bort detta?"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Tillämpa regeln endast på varukorgsobjekt som matchar följande villkor (lämna tomt för alla artiklar)."
"Apply the rule only if the following conditions are met (leave blank for all products).","Tillämpa regeln endast om följande villkor är uppfyllda (lämna tomt för alla produkter)."
"Manage Coupon Codes","Hantera kupongkoder"
"Coupon Qty",Kupongantal
"If empty no separation.","Om tom, separera ej."
"Are you sure you want to delete the selected coupon(s)?","Är du säker på att du vill ta bort de markerade rabattkupongerna?"
Labels,Etiketter
"%1 - Discounts and Coupons","%1 - Rabatter och rabattkuponger"
Coupons/Discounts,Rabattkuponger/Rabatter
"We can't delete the rule right now. Please review the log and try again.","Vi kan inte ta bort regeln just nu. Granska loggen och försök igen."
"We can't find a rule to delete.","Vi kan inte hitta en regel att ta bort."
"New Cart Price Rule","Ny prisregel för varukorg"
"Rule is not defined","Regeln är inte definierad"
"%1 coupon(s) have been generated.","%1 rabattkupong(er) har genererats."
"Invalid data provided","Ogiltig data angiven"
"Something went wrong while generating coupons. Please review the log and try again.","Något gick fel vid generering av rabattkuponger. Granska loggen och försök igen."
"The wrong rule is specified.","Fel regel har specificerats."
"You saved the rule.","Du har sparat regeln."
"Something went wrong while saving the rule data. Please review the error log.","Något gick fel vid sparandet av data för regeln. Vänligen granska felloggen."
Alphabetical,Alfabetisk
Numeric,Numerisk
"We cannot create the requested Coupon Qty. Please check your settings and try again.","Vi kan inte skapa önskade kupongantal. Vänligen kontrollera dina inställningar och försök igen."
"Specified rule does not allow coupons","Den specificerade regel tillåter inte rabattkuponger"
"Specified rule only allows auto generated coupons","Den specificerade regeln tillåter endast automatiskt genererade rabattkuponger"
"Specified rule does not allow auto generated coupons","Den specificerade regeln tillåter inte automatiskt genererade rabattkuponger"
"Error occurred when saving coupon: %1","Ett fel uppstod när rabattkupongen sparades: %1"
"Coupon with the same code","Rabattkupong med samma kod"
"No Coupon","Ingen kupong"
"Specific Coupon","Specifik rabattkupong"
"Can't acquire coupon.","Kan inte skaffa rabattkupong."
"Update the Product","Uppdatera produkten"
"Conditions combination",Villkorskombination
"Price in cart","Pris i varukorg"
"Cart Item Attribute","Attribut för artikel i varukorg"
"Apply Discount Code","Använd rabattkod"
"Enter discount code","Ange rabattkod"
"Cart Price Rule",Kundvagnsprisregel
"Public In RSS Feed","Öppen RSS-Feed"
"Maximum Qty Discount is Applied To","Maximalt Antal Rabatter Tillämpas På"
"Discount Qty Step (Buy X)","Rabatt Antal Steg (Köp X)"
"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","Ett fel uppstod under bearbetning. Kupong med id %1 utgångsdatumet uppdaterades inte. Felmeddelandet var: %2"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Det finns redan framtida uppdatering i detta tidsintervall. Välj ett annat tidsintervall."
"Not enough arguments","Inte tillräckligt argument"
"Fatal Error","Kritiskt fel"
"Use deferred Stock update","Använd latent lager uppdatering"
"Use Deferred Stock Update","Använd uppskjuten lageruppdatering"
"Add Scheduled Export","Lägg till schemalagd export"
"Add Scheduled Import","Lägg till schemalagd import"
"Scheduled Import/Export","Schemalagd Import/Export"
"Please correct the scheduled operation type.","Vänligen korrigera typ av schemalagda åtgärd."
"Server Type",Servernamn
"File Directory",Hem-mapp
"FTP Host[:Port]","FTP-värd [: Port]"
"File Mode",Filläge
"Passive Mode","Passivt läge"
"Failed Email Receiver","Misslyckade e-postmottagare"
"Failed Email Sender","E-postavsändaren misslyckades"
"Failed Email Template","Misslyckad e-post mall"
"Send Failed Email Copy To","Skicka misslyckade e-postkopior till"
"Send Failed Email Copy Method","Skicka misslyckade e-postkopior"
"Export File Information","Filformat för export"
"File Format",Filformat
"Connecting to server","Ansluter till server"
"Search Term",Sökord
"Search Synonyms",Synonymer
"New Synonym Group","Ny synonymgrupp"
"Delete Synonym Group","Radera synonymgrupp"
"Are you sure you want to delete this synonym group?","Är du säker på att du vill radera den här synonoymgruppen?"
"Save Synonym Group","Spara synonymgrupp"
"Save Search","Spara sökning"
"Delete Search","Radera sökning"
"Edit Search '%1'","Redigera sökningen '%1'"
"New Search","Ny sökning"
"Search Information",Sökinformation
"Number of results","Antal träffar"
"Number of results (For the last time placed)","Antal resultat (För senaste placeringen)"
"For the last time placed.","För sista gången placerades."
"Number of Uses","Antal användningar"
"Edit Synonym Group","Redigera synonymgrupp"
"This search no longer exists.","Denna sökning finns inte längre."
"Search entire store here...","Sök i hela butiken här..."
"Search Engine",Sökmotor
"Suggested Terms","Förslag på sökningar"
Synonyms,Synonymer
"Account Activity",Kontoaktivitet
"All other open sessions for this account were terminated.","Alla andra öppna sessioner för det här kontot har avslutats."
"We couldn't logout because of an error.","Vi kunde inte logga ut på grund av ett fel."
"Someone logged into this account from another device or browser. Your current session is terminated.","Någon har loggat in i detta kontot från en annan apparat eller webbläsare. Din nuvarande session har avslutats."
"Your current session is terminated by another user of this account.","Den aktuella sessionen avslutas av en annan användare av detta konto."
"Your current session has been expired.","Din session har upphört."
"By IP and Email","Via IP och E-post"
"By IP","Via IP"
"By Email","Via e-post"
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Felaktig Security Checker klass. Det måste genomföra ""SecurityCheckerInterface"""
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Administratörskontot är öppen i mer än en plats. Observera att andra platser kan vara olika webbläsare eller sessioner på samma dator."
"Concurrent session information:","Information om simultana sessioner:"
"Time of session start","Tid för sessionsstart"
"Are you sure that you want to log out all other sessions?","Är du säker på att du vill logga ut alla andra sessioner?"
"Log out all other sessions","Logga ut alla andra sessioner"
"This computer is using IP address %1.","Denna dator använder IP-adressen %1."
"Admin Account Sharing","Admin-konto delning"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Om satt till ja så kan du logga in från flera datorer på samma konto, standardvärdet ""nej"" ökar säkerhet."
"Password Reset Protection Type","Skyddstyp för återställning av lösenord"
"Max Number of Password Reset Requests","Max antal återställa lösenordsförfrågningar"
"Limit the number of password reset request per hour. Use 0 to disable.","Begränsa antalet begäran om återställning av lösenord per timme. Använd 0 för att inaktivera."
"Min Time Between Password Reset Requests","Minimum tid mellan förfrågningar för lösenordsåterställning"
"Delay in minutes between password reset requests. Use 0 to disable.","Fördröjning i minuter mellan lösenords återställningsbegäran. Använd 0 för att inaktivera."
"You can't send messages more than %1 times an hour.","Du kan inte skicka meddelande mer än %1 gång per timme."
"The link to a friend was sent.","Länken till en vän skickades."
"We found some problems with the data.","Vi hittade lite problem med dina data."
"Some emails were not sent.","Viss e-post skickades inte."
"You've met your limit of %1 sends in an hour.","Du har uppfyllt din begränsning på maximalt %1 skickade produkter per timme."
"Please enter a sender name.","Vänligen ange ett avsändarnamn."
"Invalid Sender Email","Ogiltig avsändare Email"
"Please enter a message.","Fyll i meddelandetexten."
"Please specify at least one recipient.","Ange minst en mottagare."
"Please enter a correct recipient email address.","Vänligen ange en korrekt mottagares e-postadress."
"No more than %1 emails can be sent at a time.","Inte mer än %1 e-postmeddelanden kan skickas samtidigt."
"Please define a correct product instance.","Vänligen ange en korrekt produkt-instans."
"Invalid Sender Information","Ogiltig avsändarinformation"
"Please define the correct sender information.","Vänligen definiera rätt avsändarinformation."
"Cookie (unsafe)","Cookie (osäkra)"
"Remove Recipent","Ta bort mottagare"
Invitee,Mottagare
"Add Invitee","Lägg till mottagare"
"Welcome, %name","Välkommen, %name"
"%sender_name wants to share this product with you:","%sender_name vill dela denna produkt med dig:"
"Select Email Template","Välj E-postmall"
"Allow for Guests","Tillåt för gäster"
"Max Recipients","Max antal mottagare"
"Max Products Sent in 1 Hour","Maximalt antal skickade produkter per timme"
"Limit Sending By","Begränsa skickande med"
Assign,Tilldela
of,av
Assigned,Tilldelad
"New Shipment for Order #%1","Ny leverans för order #%1"
"Submit Shipment","Skicka Frakt"
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","Du försöker lägga till en kvantitet för vissa produkter som inte motsvarar det antal som har levererats."
"The value that you entered is not valid.","Värdet som du angett är inte giltigt."
"Add Tracking Number","Lägg till Spårningsnummer"
"Send Tracking Information","Skicka spårningsinformation"
"Are you sure you want to send a Shipment email to customer?","Är du säker du vill skicka ett kreditmemo-mail till kunden?"
"the shipment email was sent","e-postmeddelande med fraktinformation skickat"
"the shipment email is not sent","frakt E-post har inte skickats"
"Shipment #%1 | %3 (%2)","Leverans #%1 | %3 (%2)"
"Create Shipping Label...","Skapa sändningsetikett..."
"About Your Shipment","Om din sändning"
"Cannot add tracking number.","Kan inte lägga till sändningsnummer."
"You created the shipping label.","Du skapade sändningsetiketten."
"An error occurred while creating shipping label.","Ett fel uppstod under skapelsen av sändningsetiketten."
"Cannot send shipment information.","Kan inte skicka sändelseinformation."
"There are no shipping labels related to selected orders.","Det finns inga sändningsetiketter relaterade till valda ordrar."
"New Shipment","Ny sändelse"
"The shipment has been created.","Försändelsen har skapats."
"Cannot save shipment.","Kan inte spara försändelsen."
"Cannot do shipment for the order.","Kan inte göra försändelse för ordern."
Development,Utveckling
"Signature Confirmation","Bekräftelse med signatur"
Contents,Innehåll
Girth,Omkrets
"Shipping labels is not available.","Leveransetiketter finns inte."
"Response info is not exist.","Svarsinformation existerar inte."
"Per Package","Per paket"
"Tracking information is unavailable.","Spårningsinformation är inte tillgänglig."
"Items to Ship","Artiklar att leverera"
"Qty to Ship","Antal att Leverera"
"Shipment Total",Totalfrakt
"Shipment Options",Leveransalternativ
"Email Copy of Shipment","E-post-kopia på försändelse"
"Invalid value(s) for Qty to Ship","Ogiltig värde(n) för Antal att Leverera"
"Add Selected Product(s) to Package","Lägg till valda produkt(er) i paketet"
"Add Products to Package","Lägg till produkter till paket"
in,tum
"Delete Package","Ta bort paket"
Explanation,Förklaring
"Shipping &amp; Handling Information","Frakt &amp; hanteringsinformation"
"Track Order","Spåra beställning"
"Items Shipped","Levererade artiklar"
"Shipment History",Frakthistorik
"Print All Shipments","Skriv ut alla leveranser"
"Shipment #","Leverans #"
"Print Shipment","Skriv ut försändelsen"
"Tracking Number(s):",Spårningsnummer
"Order tracking",Orderspårning
"Tracking Number:",Spårningsnummer:
Carrier:,Fraktbolag:
"contact us","kontakta oss"
" for more information or "," för mer information eller "
"email us at ","maila oss på "
Track:,Spåra:
"Delivered on:","Levererad på:"
"There is no tracking available for this shipment.","Det finns ingen spårning tillgänglig för denna leverans."
"There is no tracking available.","Det finns ingen spårning tillgänglig."
"Track history",Spårningshistorik
"Local Time","Lokal tid"
"See our Shipping Policy","Se vår fraktpolicy"
"Shipping Settings Section","Sektion för fraktinställning"
"Shipping Policy Parameters Section","Sektion för fraktpolicy-parametrar"
"Shipping Settings",Fraktinställningar
Origin,Ursprung
"Shipping Policy Parameters","Sektion för fraktpolicy-parametrar"
"Apply custom Shipping Policy","Tillämpa anpassad fraktpolicy"
"Shipping Policy",Fraktpolicy
"Track your order","Spåra din beställning"
"Track All Shipments","Spåra alla försändelser"
"You sent the shipment.","Du skickade sändelsen."
"This order already has associated case entity","Denna beställning har associerat ärende-entitet"
"The case entity should not be empty.","Entiteten får inte vara tom."
"Cannot update Case entity.","Kan inte uppdatera entiteten ärende."
"The ""%1"" should not be empty.","Den ""%1"" får inte vara tom."
"Case entity not found.","Ärendeentiteten hittades inte."
"Case Update: New score for the order is %1. Previous score was %2.","Mål uppdatering: Nya Poäng för ordern är %1. Tidigare var %2."
"Cannot generate message.","Kan inte generera meddelande."
"Message is generated.","Meddelandet genereras."
"Fraud Protection Information","Information om Förfalskningsskydd"
"Save & Generate","Spara & generera"
"Edit Sitemap","Redigera Sitemap"
"New Sitemap","Ny Sitemap"
"Sitemap Information","Sitemap information"
Filename,Filnamn
"example: sitemap.xml","exempel: sitemap.xml"
"Add Sitemap","Lägg Sitemap"
"You deleted the sitemap.","Du bort sitemapen."
"We can't find a sitemap to delete.","Vi kan inte hitta en sitemap att ta bort."
"This sitemap no longer exists.","Denna sitemap finns inte längre."
"New Site Map","Ny Sitemap"
"The sitemap ""%1"" has been generated.","Webbplatskartan ""%1"" har genererats."
"We can't generate the sitemap right now.","Vi kan inte generera sitemap just nu."
"We can't find a sitemap to generate.","Vi kan inte hitta en sitemap att generera."
"You saved the sitemap.","Du har sparat din nya sitemap."
"CMS Pages Options",CMS-sidalternativ
"We were unable to perform the search because of a search engine misconfiguration.","Det gick inte att utföra sökningen på grund av en felaktig sökmotorinställning."
"Final commit","Slutgiltigt commit"
"Partial commit","Partiell commit"
"Engine autocommit","Motor för autocommits"
"Solr Server Port","Solr serverport"
"Solr Server Username","Solr Server användarnamn"
"Solr Server Password","Solr serverlösenord"
"Solr Server Path","Solr serversökvägen"
"Without starting and trailing slashes.","Utan start och avslutande snedstreck."
"Indexation Mode",Indexering-läge
"Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed.","Partiell commit-läge påverkar tidpunkten för indexering, men tillåter indexerade produkter ska synas på skyltfönster innan indexeringen är slutförd."
"Please fill in Hostname, Port, Path","Vänligen fyll i Servernamn, Port, Sökväg"
"Remove from Update","Ta bort från uppdatering"
"Schedule New Update","Schemalägg ny uppdatering"
"View Specific Date","Visa specifika datum"
"Date & Time","Datum & tid"
"This update not exists.","Den här uppdateringen finns inte."
"Edit Existing Update","Redigera befintlig uppdatering"
"Assign to Another Update","Flytta till annan uppdatering"
"Assign to Existing Update","Tilldela till befintliga uppdatering"
"You removed this %1 from the update and saved it in the other one.","Du tog bort denna %1 från uppdateringen och har sparat den i en annan."
"You removed this %1 from the update.","Du bort denna %1 från uppdateringen."
"You removed this %1 from the update and saved it in a new one.","Du bort denna %1 från uppdateringen och sparade den i en ny."
"Something went wrong while removing the %1.","Något gick fel när du sparade %1."
"The 'mode' value is unexpected.","Värdet 'läge' är oväntat."
"You saved this %1 update.","Du sparade uppdatering: %1."
"Something went wrong while saving the %1.","Något gick fel när du sparade %1."
"Create New Update","Skapa ny uppdatering"
"Current store is not active.","Aktuella butiken är inte aktiv."
"Requested store is inactive","Den önskade affären är inaktiv"
"Store with the same code","Butik med samma kod"
"Website with the same code","Webbplats med samma kod"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Webbplatskod kan endast innehålla bokstäver (a-z), siffror (0-9) eller understreck (_), och det första tecknet måste vara en bokstav."
"Name is required","Namn är obligatoriskt"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Webbplatskod kan endast innehålla bokstäver (a-z), siffror (0-9) eller understreck (_), och det första tecknet måste vara en bokstav."
"Store is inactive","Butiken är inaktiv"
"Invalid store parameter.","Ogiltig butiksparameter."
"Default store is inactive","Standardbutiken är inaktiv"
"no such entity exception","ingen sådan entitet"
"Your Language:","Ditt språk:"
"Your Language","Ditt språk"
Language,Språk
"Select Store","Välj en butik"
"Various XML configurations that were collected across modules and merged","Olika XML-konfigurationer som samlades in mellan moduler och sammanslagna"
"Layout building instructions","Layout bygginstruktioner"
"Backup Log Details","Detaljer för säkerhetskopierad logg"
"Requested system report has no data to output.","Önskad systemrapport har inga data att visa."
"&copy; Magento Commerce Inc., %1","© Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Är du säker på att du vill ta bort systemrapporten?"
"Go to Top","Gå till topp"
"System Report Information",Systeminformation
"Requested system report has no data to display.","Önskad systemrapport har inga data att visa."
"Unknown DB param: %1","Okänd DB param: %1"
"Paths file already exists","Paths filen finns redan"
"Paths file cannot be created","URL-fil kan inte skapas"
"Data Collector",Datainsamlaren
"The backup has been saved.","Säkerhetskopian har sparats."
"Failed to save backup with error: %1","Det gick inte att spara backup med fel: %1"
"An error occurred while saving backup","Ett fel uppstod när backupen sparades"
"Wrong param id","Fel parameter-id"
"The backup has been deleted.","Säkerhetskopian har sparats."
"File does not exist","Filen existerar inte"
"Log Details",Loggdetaljer
(now),(nu)
"Customer Id",Kund-Id
"Log Files",Loggfiler
"Error message!",Felmeddelande!
"Delete ""%1""","Ta bort ""%1"""
"Empty log","Tom logg"
"No data","Inga data"
Logs,Loggar
"DB Dump",DB-dump
"Choose Report Groups","Välj rapportgrupper"
"Update Product Preview Image","Uppdatera produktens förhandsgranskningsbild"
"Filtering by this attribute will update the product image on catalog page","Filtering efter denna attribut kommer uppdatera produktbilden på kategorisidan"
"Use Product Image for Swatch if Possible","Använd om möjligt produktbilden för Swatch"
"Allows use fallback logic for replacing swatch image with product swatch or base image","Tillåter användning av fallback logik för att ersätta swatch bild med swatch eller basproduktbild"
"Visual Swatch","Visuell Swatch"
"Manage Swatch (Values of Your Attribute)","Hantera Swatch (värden på ditt attribut)"
"Add Swatch","Lägg till Swatch"
"Choose a color","Välj en färg"
"Upload a file","Ladda upp en fil"
"Select from the following attribute values for this product. Each unique combination of values creates a unique product SKU.","Välj från följande attributvärden för denna produkt. Varje unik kombination av värden skapar ett unikt Artikelnummer."
"Related Products Rule","Relaterade produkter regel"
"Product Result Conditions (leave blank for matching all products)","Villkor för produktresultat (Lämna tomt för att matcha alla produkter)"
"Products to Display","Produkter som ska visas"
"Product Match Conditions (leave blank for matching all products)","Produkten Matchar villkor (lämna tomt för att matcha alla produkter)"
"Products to Match","Matchande Produkter"
"General Rule Information","Allmän Information"
"Result Limit",Resultatgräns
"Maximum number of products this rule can apply to (up to 20).","Maximalt antal produkter denna regel kan gälla (upp till 20)."
"Product Rule Information","Regel om produktinformation"
"New Related Products Rule","Ny Regel för Relaterade Produkter"
"Constant Value","Konstant värde"
more,mer
less,mindre
"Tax Rate Information","Information om skattesatser"
"Tax Identifier",Skatte-Id
"Zip/Post is Range","Postnummer mellan"
"Zip/Post Code",Postnummer
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","' *'-matchar något; 'xyz *' - matchar något som börjar på 'xyz' och är inte längre än %1."
"Range From","Sträcker sig från"
"Range To","Sträcker sig till"
State,Län
"Rate Percent","Procent Betyg"
"Tax Titles",Skattesatser
"Add New Tax Rate","Lägg till ny skatteregel"
"Delete Rate","Ta bort Avgift"
"Save Rate","Spara Sats"
"Manage Tax Rules","Hantera skattesatser"
"Add New Tax Rule","Lägg till ny skatteregel"
"Save Rule","Spara Regel"
"Tax Rule Information","Information om skattesatser"
"Customer Tax Class","Kundens Skattekategori"
"Product Tax Class","Produktens momsklass"
"Tax Rate",Skattesats
"Add New Tax Class","Lägg till ny momsklass"
"Subtotal (Excl.Tax)","Delsumma (Exkl.Moms)"
"Subtotal (Incl.Tax)","Delsumma (Inkl.Moms)"
"Shipping & Handling (Excl.Tax)","Frakt & hantering (Exkl.Moms)"
"Shipping & Handling (Incl.Tax)","Frakt & hantering (Inkl.Moms)"
"Grand Total (Excl.Tax)","Totalsumma (Exkl.Moms)"
"Grand Total (Incl.Tax)","Totalsumma (Inkl.Moms)"
"Manage Tax Rates","Hantera Skattesatser"
"New Tax Rate","Ny momsklass"
"Tax Zones and Rates","Skatt zoner och priser"
"You deleted the tax rate.","Du tog bort momssatsen."
"Something went wrong deleting this rate.","Något gick fel vid borttagning av denna sats."
"Edit Tax Rate","Ändra momssats"
"You saved the tax rate.","Du har sparat momssatsen."
"An error occurred while loading tax rates.","Ett fel uppstod vid inläsning av momssatser."
"The tax rule has been deleted.","Momsregeln har tagits bort."
"Something went wrong deleting this tax rule.","Något gick fel vid borttagning av denna momsregel."
"New Tax Rule","Ny skatteregel"
"You saved the tax rule.","Du har sparat momsregeln."
"Invalid name of tax class specified.","Ogiltigt namn på momsklass angiven."
"This class no longer exists.","Denna klass existerar inte längre."
"Invalid type supplied","Ogiltig typ angiven"
"Grand Total (Excl. Tax)","Totalsumma (Exkl. Moms)"
"Grand Total (Incl. Tax)","Totalsumma (Inkl. Moms)"
"Shipping (Excl. Tax)","Frakt (Exkl. Moms)"
"Shipping (Incl. Tax)","Frakt (Inkl. Moms)"
"Before Discount","Före rabatt"
"After Discount","Efter rabatt"
"customer group",kundgrupp
product,produkt
"Excl. tax:","Exkl. moms:"
Note:,Anteckning:
"An error occurred","Ett fel uppstod"
"Add New Class","Lägg till ny klass"
Taxes,Skatter
"Tax Classes",Momsklasser
"Tax Class for Shipping","Momsklasser för frakt"
"Display Prices","Visa priser"
"Display Subtotal","Visa delsumma"
"Display Shipping Amount","Visa fraktsumma"
"Display Zero Tax Subtotal","Visa Noll Moms Delsumma"
State/Region,Stat/Region
"Subtotal Only","Bara Delsumma"
"(Excl. Tax)","(Exkl. Moms)"
"(Incl. Tax)","(Inkl. Moms)"
"Order Total Excl. Tax","Ordersumma Exkl. Moms"
"Order Total Incl. Tax","Ordersumma Inkl. Moms"
"Import and Export Tax Rates","Import och Export skattesatser"
"The tax rate has been imported.","Skattesatsen har importerats."
"Invalid file upload attempt","Ogiltig filuppladdningsförsök"
"Invalid file upload attempt.","Ogiltig filuppladdningsförsök."
"Invalid file format.","Ogiltigt filformat."
"Import Tax Rates","Importera skattesatser"
"Export Tax Rates","Exportera skattesatser"
"Country code is invalid: %1","Landskoden är ogiltig: %1"
"Import/Export Tax Rates","Importera/exportera momssatser"
"Save and Continue","Spara och Fortsätt"
"Save Configuration","Spara Konfiguration"
Themes,Teman
"Are you sure you want to delete this theme?","Är du säker på att du vill ta bort detta tema?"
"Theme: %1","Tema: %1"
"Theme CSS","Tema CSS"
"Theme CSS Assets","Tema CSS resurser"
"Custom CSS","Anpassad CSS"
"Select CSS File to Upload","Välj CSS-fil att Ladda upp"
"Upload CSS File","Ladda upp CSS-fil"
"Download CSS File","Hämta CSC-fil"
"Upload Images","Ladda upp bilder"
"Images Assets",Bildresurser
"Upload Fonts","Ladda upp teckensnitt"
"Fonts Assets","Teckensnitt Resurser"
"Edit custom.css","Redigera custom.css"
"Allowed file types *.css.","Tillåtna filtyper *.css."
"Max file size to upload %1M","Maximal filstorlek att ladda upp %1M"
"Something is wrong with the file upload settings.","Något är fel med inställningarna för filuppladdning."
"CSS Editor",CSS-Redigerare
"Theme Settings","Inställningarna för tema"
"Parent Theme","Förälder Tema"
"Theme Path","Sökväg för tema"
"Theme Title","Titel för tema"
"Theme Preview Image","Tema förhandsgranskningsbild"
"Copy of %1","Kopia av %1"
"Max image size %1M","Max bildstorlek %1M"
"Theme JavaScript","Tema JavaScript"
"Select JS Files to Upload","Välj JS-filer att ladda upp"
"Upload JS Files","Ladda upp JS filer"
"JS Editor","JS Redigerare"
"Allowed file types *.js.","Tillåtna filtyper *.js."
"Create Folder","Skapa mapp"
"Insert File","Infoga fil"
welcome,välkommen
"Design Configuration",Designkonfiguration
"You deleted the theme.","Du tog bort temat."
"We cannot delete the theme.","Vi kan inte ta bort temat."
"File not found: ""%1"".","Filen hittades inte: ""%1""."
"We cannot find theme ""%1"".","Vi kan inte hitta tema ""%1""."
"We cannot find the theme.","Vi kan inte hitta temat."
"This theme is not editable.","Detta tema är inte redigerbart."
"You saved the theme.","Du sparat temat."
"We cannot find a theme with id ""%1"".","Vi kan inte hitta ett tema med id ""%1""."
"Invalid type","Ogiltig typ"
"%1 does not contain field '%2'","%1 innehåller inte fältet '%2'"
"Invalid regular expression: ""%1"".","Ogiltigt reguljärt uttryck: ""%1""."
"%1 does not contain field 'file'","%1 innehåller inte fältet 'file'"
"The date range for this design change overlaps another design change for the specified store.","Intervallet för denna designändring överlappar en annan designförändring för den angivna affären."
"Theme id should be set","Tema-id ska anges"
"Circular-reference in theme inheritance detected for ""%1""","Cirkulär referens i tema arv upptäckts för ""%1"""
"The CSS file must be less than %1M.","CSS-filen måste vara mindre än %1M."
"The JS file must be less than %1M.","JS-filen måste vara mindre än %1M."
"Use only standard alphanumeric, dashes and underscores.","Använd endast tecken som är standard alfanumeriska, bindestreck eller understreck."
"We found a directory with the same name.","Vi hittade en katalog med samma namn."
"We cannot find a directory with this name.","Vi kan inte hitta en katalog med detta namn."
"localized exception","lokaliserade undantag"
"Test Label","Test etikett"
Phrase,Fras
testMessage,testMeddelande
"We found no files.","Vi hittade inga filer."
"Browse Files","Bläddra bland filer"
Scope:,Omfattning:
"Help Us Keep Magento Healthy","Hjälp oss att hålla Magento friska"
"Report All Bugs","Rapportera alla buggar"
"Toggle Nav","Växla Nav"
"JavaScript seems to be disabled in your browser.","JavaScript verkar vara inaktiverat i din webbläsare."
"For the best experience on our site, be sure to turn on Javascript in your browser.","För den bästa upplevelsen på vår webbplats, bör du aktivera Javascript i din webbläsare."
"Local Storage seems to be disabled in your browser.","Lokal lagring verkar vara inaktiverat i din webbläsare."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","För den bästa upplevelsen på vår webbplats, bör du aktivera lokal lagring i din webbläsare."
"Items %1 to %2 of %3 total","Artiklar %1 till %2 av %3 totala"
"%1 Item(s)","%1 objekt"
Page,Sida
"We don't recognize this file extension.","Vi känner inte igen denna filtyp."
"1 column","1 kolumn"
"Default welcome msg!","Standard välkomstmeddelande!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. Alla rättigheter reserverade."
"Design Config Grid","Design Konfiguration Rutnät"
"Rebuild design config grid index","Bygg om design konfiguration rutnät index"
"Admin empty","Admin tom"
"Theme Information",Temainformation
"Favicon Icon",Favicon-ikonen
"Default Page Title","Standard sidtitel"
"Page Title Prefix","Sidtitel prefix"
"Page Title Suffix","Sidtitel suffix"
"Default Meta Description","Standard meta-beskrivning"
"Default Meta Keywords","Standard meta-nyckelord"
"This will be included before head closing tag in page HTML.","Detta kommer att finnas före huvudets avslutande tagg i sidans HTML."
"Scripts and Style Sheets","Skript och stilmallar"
"Display Demo Store Notice","Visa Demo Affär meddelande"
"Logo Attribute Width","Logotyp attributet bredd"
"Logo Attribute Height","Logotyp attributet höjd"
"Welcome Text","Välkommen Text"
"This will be displayed just before the body closing tag.","Detta kommer att visas strax innan HTML kroppens avslutande tagg."
"Miscellaneous HTML","Diverse HTML"
"Default Robots","Standard robotar"
"Edit custom instruction of robots.txt File","Redigera anpassade anvisning av robots.txt fil"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Denna åtgärd kommer att ta bort dina anpassade instruktioner och återställa filen robots.txt till systemets standardinställningar."
"Reset To Defaults","Återställ till standard"
"Skip to Content","Hoppa till innehållet"
Menu,Meny
Account,Konto
"2 columns with left bar","2 kolumner med vänster bar"
"2 columns with right bar","2 kolumner med höger sektion"
"3 columns","3 kolumner"
"Dictionary (Translation on Storefront side)","Ordlista (översättning på butiksidan)"
"Embedded (Translation on Admin side)","Inbyggd (Översättning på Adminsidan)"
"Error while translating phrase ""%s"" in file %s.","Fel uppstod under översättning av frasen ""%s"" i filen %s."
"Error while generating js translation dictionary: ""%s""","Fel uppstod när generera js översättning ordbok: ""%s"""
"Translation Strategy",Översättningsstrategi
Translations,Översättningar
"Translation files",Översättningsfiler
"Condition type ""%1"" is not allowed","Villkorstypen ""%1"" är inte tillåtet"
"Remove %1","Ta bort %1"
"Add New %1","Lägg till ny %1"
"New %1","Nya %1"
"Unsupported bookmark action.","Bokmärkesaction som ej stöds."
Filters,Filter
Off,Av
"Please enter {0} words or less.","Vänligen ange {0} ord eller mindre."
"Please enter at least {0} words.","Ange åtminstone {0} ord."
"Please enter between {0} and {1} words.","Ange mellan {0} och {1} ord."
"Empty Value.","Tomt värde."
